"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PreQualProduct.responsibleNRAReference","PreQualProduct.responsibleNRAReference","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/ITI/mCSD/StructureDefinition/IHE.mCSD.Organization]]}
","Responsible NRA FHIR Organization reference","Responsible NRA FHIR Organization reference","","","","","","","","","",,,,,"",,,,"PreQualProduct.responsibleNRAReference",1,1,"",""
"PreQualProduct.productReference","PreQualProduct.productReference","","","",0,1,"","","","Reference {[]} {[]}
","Product FHIR reference (when available from pcmt dependency)","Product FHIR reference (when available from pcmt dependency)","","","","","","","","","",,,,,"",,,,"PreQualProduct.productReference",0,1,"",""
"PreQualProduct.manufacturerLM","PreQualProduct.manufacturerLM","","","",0,1,"","","","Reference {[]} {[]}
","Manufacturer logical model instance reference","Manufacturer logical model instance reference","","","","","","","","","",,,,,"",,,,"PreQualProduct.manufacturerLM",0,1,"",""
"PreQualProduct.nraLM","PreQualProduct.nraLM","","","",0,1,"","","","Reference {[]} {[]}
","NRA logical model instance reference","NRA logical model instance reference","","","","","","","","","",,,,,"",,,,"PreQualProduct.nraLM",0,1,"",""
"PreQualProduct.vaccineLM","PreQualProduct.vaccineLM","","","",0,1,"","","","Reference {[]} {[]}
","Vaccine logical model instance reference","Vaccine logical model instance reference","","","","","","","","","",,,,,"",,,,"PreQualProduct.vaccineLM",0,1,"",""
"PreQualProduct.bulkSupplierLM","PreQualProduct.bulkSupplierLM","","","",0,1,"","","","Reference {[]} {[]}
","Bulk supplier logical model instance reference","Bulk supplier logical model instance reference","","","","","","","","","",,,,,"",,,,"PreQualProduct.bulkSupplierLM",0,1,"",""
"PreQualProduct.packagingLM","PreQualProduct.packagingLM","","","",0,*,"","","","Reference {[]} {[]}
","Product packaging logical model instance references","Product packaging logical model instance references","","","","","","","","","",,,,,"",,,,"PreQualProduct.packagingLM",0,*,"",""
"PreQualProduct.documentLM","PreQualProduct.documentLM","","","",0,*,"","","","Reference {[]} {[]}
","Document detail logical model instance references","Document detail logical model instance references","","","","","","","","","",,,,,"",,,,"PreQualProduct.documentLM",0,*,"",""
"PreQualProduct.siteLM","PreQualProduct.siteLM","","","",0,*,"","","","Reference {[]} {[]}
","Site detail logical model instance references","Site detail logical model instance references","","","","","","","","","",,,,,"",,,,"PreQualProduct.siteLM",0,*,"",""
"PreQualProduct.ingredientLM","PreQualProduct.ingredientLM","","","",0,*,"","","","Reference {[]} {[]}
","Product ingredient logical model instance references","Product ingredient logical model instance references","","","","","","","","","",,,,,"",,,,"PreQualProduct.ingredientLM",0,*,"",""
