"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PreQualDBAPI","PreQualDBAPI.routeOfAdministration","PreQualDBAPI.routeOfAdministration","","","",0,1,"","","","code {[]} {[]}
","Route of administration code from PreQualDatabaseMetadata","Route of administration code from PreQualDatabaseMetadata","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.routeOfAdministration",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.applicantId","PreQualDBAPI.applicantId","","","",0,1,"","","","Identifier {[]} {[]}
","Applicant/manufacturer organization ID (may be absent if not yet assigned)","Applicant/manufacturer organization ID (may be absent if not yet assigned)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.applicantId",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.applicantName","PreQualDBAPI.applicantName","","","",1,1,"","","","string {[]} {[]}
","Applicant/manufacturer organization name (always present from API data)","Applicant/manufacturer organization name (always present from API data)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.applicantName",1,1,"",""
"PreQualDBAPI","PreQualDBAPI.applicantAddress","PreQualDBAPI.applicantAddress","","","",0,1,"","","","Address {[]} {[]}
","Applicant organization address","Applicant organization address","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.applicantAddress",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.nraId","PreQualDBAPI.nraId","","","",0,1,"","","","Identifier {[]} {[]}
","NRA organization ID (may be absent if not yet assigned)","NRA organization ID (may be absent if not yet assigned)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.nraId",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.nraName","PreQualDBAPI.nraName","","","",1,1,"","","","string {[]} {[]}
","Responsible NRA name (always present from API data)","Responsible NRA name (always present from API data)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.nraName",1,1,"",""
"PreQualDBAPI","PreQualDBAPI.nraCountry","PreQualDBAPI.nraCountry","","","",0,1,"","","","string {[]} {[]}
","NRA country","NRA country","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.nraCountry",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.shelfLife","PreQualDBAPI.shelfLife","","","",0,1,"","","","string {[]} {[]}
","Shelf life (e.g. 24 months)","Shelf life (e.g. 24 months)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.shelfLife",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.storageTemperature","PreQualDBAPI.storageTemperature","","","",0,1,"","","","string {[]} {[]}
","Storage temperature (e.g. 2 - 8°C)","Storage temperature (e.g. 2 - 8°C)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.storageTemperature",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.diluent","PreQualDBAPI.diluent","","","",0,1,"","","","string {[]} {[]}
","Diluent information","Diluent information","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.diluent",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.lastPublishingDate","PreQualDBAPI.lastPublishingDate","","","",0,1,"","","","dateTime {[]} {[]}
","Last publishing date","Last publishing date","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.lastPublishingDate",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.publishingRemarks","PreQualDBAPI.publishingRemarks","","","",0,1,"","","","string {[]} {[]}
","Publishing remarks","Publishing remarks","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.publishingRemarks",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.preservative","PreQualDBAPI.preservative","","","",0,1,"","","","string {[]} {[]}
","Preservative name (e.g. Thiomersal)","Preservative name (e.g. Thiomersal)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.preservative",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.preservativeConcentration","PreQualDBAPI.preservativeConcentration","","","",0,1,"","","","string {[]} {[]}
","Preservative concentration (e.g. 0.01%)","Preservative concentration (e.g. 0.01%)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.preservativeConcentration",0,1,"",""
"PreQualDBwithIds","PreQualDBwithIds","PreQualDBwithIds","","","",0,*,"","","","null {[]} {[]}
","WHO Vaccine PreQual DB with IDs","Logical model for WHO PreQual DB as CSV file available at:
     https://extranet.who.int/prequal/vaccines/prequalified-vaccines
Columns of the CSV are as follows
with additional data fields for appropriately referencing associated data objects","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PreQualDBwithIds","PreQualDBwithIds.dateOfPrequal","PreQualDBwithIds.dateOfPrequal","","","",1,1,"","","","dateTime {[]} {[]}
","Date of Prequalification (DD/MM/YY)","Date of Prequalification (DD/MM/YY)","","","","","","","","","",,,,,"",,,,"PreQualDB.dateOfPrequal",1,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.vaccineType","PreQualDBwithIds.vaccineType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Vaccine Type","Vaccine Type","","","","","","","","","",,,,,"",,,,"PreQualDB.vaccineType",1,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.commercialName","PreQualDBwithIds.commercialName","","","",1,1,"","","","string {[]} {[]}
","Commercial Name","Commercial Name","","","","","","","","","",,,,,"",,,,"PreQualDB.commercialName",1,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.presentation","PreQualDBwithIds.presentation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Presentation","Presentation","","","","","","","","","",,,,,"",,,,"PreQualDB.presentation",1,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.numDoses","PreQualDBwithIds.numDoses","","","",0,1,"","","","decimal {[]} {[]}
","Number of doses","Number of doses","","","","","","","","","",,,,,"",,,,"PreQualDB.numDoses",0,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.manufacturer","PreQualDBwithIds.manufacturer","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Manufacturer","Manufacturer","","","","","","","","","",,,,,"",,,,"PreQualDB.manufacturer",1,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.responsibleNRA","PreQualDBwithIds.responsibleNRA","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Responsible NRA","Responsible NRA","","","","","","","","","",,,,,"",,,,"PreQualDB.responsibleNRA",1,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.index","PreQualDBwithIds.index","","","",1,1,"","","","Identifier {[]} {[]}
","An index or identifier of the prequalificaiton for the product.","An index or identifier of the prequalificaiton for the product.","","","","","","","","","",,,,,"",,,,"PreQualDBwithIds.index",1,1,"","is-a-prequal-product-id:Product ID comes from the PreQual Databatase {system = 'http://smart.who.int/pcmt-vaxprequal/CodeSystem/PreQualProductIds'}
"
"PreQualDBwithIds","PreQualDBwithIds.manufacturerReference","PreQualDBwithIds.manufacturerReference","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/ITI/mCSD/StructureDefinition/IHE.mCSD.Organization]]}
","Manufacturer referecne","Manufacturer referecne","","","","","","","","","",,,,,"",,,,"PreQualDBwithIds.manufacturerReference",1,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.responsibleNRAReference","PreQualDBwithIds.responsibleNRAReference","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/ITI/mCSD/StructureDefinition/IHE.mCSD.Organization]]}
","Responsible NRA reference","Responsible NRA reference","","","","","","","","","",,,,,"",,,,"PreQualDBwithIds.responsibleNRAReference",1,1,"",""
"PreQualDBwithIds","PreQualDBwithIds.productReference","PreQualDBwithIds.productReference","","","",0,1,"","","","Reference {[]} {[]}
","Product reference (when available from pcmt dependency)","Product reference (when available from pcmt dependency)","","","","","","","","","",,,,,"",,,,"PreQualDBwithIds.productReference",0,1,"",""
"PreQualDocumentDetail","PreQualDocumentDetail","PreQualDocumentDetail","","","",0,*,"","","","null {[]} {[]}
","WHO PreQual Document Detail","Logical model for document details
from the WHO PreQual API (DocumentDetails).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PreQualDocumentDetail","PreQualDocumentDetail.documentId","PreQualDocumentDetail.documentId","","","",0,1,"","","","Identifier {[]} {[]}
","Document ID","Document ID","","","","","","","","","",,,,,"",,,,"PreQualDocumentDetail.documentId",0,1,"",""
"PreQualDocumentDetail","PreQualDocumentDetail.documentName","PreQualDocumentDetail.documentName","","","",0,1,"","","","string {[]} {[]}
","Document name","Document name","","","","","","","","","",,,,,"",,,,"PreQualDocumentDetail.documentName",0,1,"",""
"PreQualDocumentDetail","PreQualDocumentDetail.documentType","PreQualDocumentDetail.documentType","","","",0,1,"","","","code {[]} {[]}
","Document type code from PreQualDatabaseMetadata (e.g. ProductInsert, Photo, VSPAR)","Document type code from PreQualDatabaseMetadata (e.g. ProductInsert, Photo, VSPAR)","","","","","","","","","",,,,,"",,,,"PreQualDocumentDetail.documentType",0,1,"",""
"PreQualDocumentDetail","PreQualDocumentDetail.versionId","PreQualDocumentDetail.versionId","","","",0,1,"","","","string {[]} {[]}
","Document version ID","Document version ID","","","","","","","","","",,,,,"",,,,"PreQualDocumentDetail.versionId",0,1,"",""
